,Degree Centrality,Closeness Centrality,Betweenness Centrality
ur.01250146345.95,8.0,0.00010955002327937996,0.0002464875523786048
ur.0701014527.79,27.0,0.00959932078985556,0.008325801769232786
ur.01332411002.67,2.0,0.0,0.0
ur.010141464337.15,0.0,0.0,0.0
ur.01360626137.26,0.0,0.0,0.0
ur.01303715044.56,97.0,0.00453263221318431,0.00417659463752633
ur.01076326622.83,24.0,0.0,0.0
ur.01123620353.09,24.0,1.3693752909922494e-05,0.0
ur.0605345524.31,62.0,0.0007668501629556602,0.00049297510475721
ur.01334323745.91,13.0,0.0,0.0
ur.0767453221.58,13.0,0.0,0.0
ur.01263020331.69,13.0,0.0,0.0
ur.01020730425.15,13.0,0.0,0.0
ur.01170221707.98,38.0,0.00010955002327937996,2.7387505819844987e-05
ur.0760512701.15,13.0,0.0,0.0
ur.0601710171.09,30.0,5.4775011639689975e-05,6.846876454961247e-05
ur.01164126150.41,13.0,0.0,0.0
ur.0733051112.10,13.0,0.0,0.0
ur.01067743131.19,13.0,0.0,0.0
ur.01041746777.53,24.0,4.108125872976748e-05,1.3693752909922494e-05
ur.01203125215.42,7.0,0.0,0.0
ur.0655132370.20,7.0,0.0,0.0
ur.0665165266.85,7.0,0.0,0.0
ur.01370631676.63,7.0,0.0,0.0
ur.0721231062.72,7.0,0.0,0.0
ur.01014773412.65,7.0,0.0,0.0
ur.0714242414.75,7.0,0.0,0.0
ur.01127603173.41,7.0,0.0,0.0
ur.0731074203.20,1.0,0.0,0.0
ur.0771450037.09,4.0,0.0,0.0
ur.01013730045.03,23.0,0.00015063128200914743,0.00020540629364883736
ur.01016407600.84,4.0,0.0,0.0
ur.01064523000.38,4.0,0.0,0.0
ur.01132636200.03,4.0,0.0,0.0
ur.012627760265.54,104.0,0.008791389368170144,0.008490126804151853
ur.0710442715.36,1.0,0.0,0.0
ur.0750725460.01,143.0,0.024991099060609402,0.024279023909293353
ur.0674002636.33,6.0,0.0009174814449648078,0.0009448689507846528
ur.01050412261.56,0.0,0.0,0.0
ur.0742126112.10,0.0,0.0,0.0
ur.011557717367.26,0.0,0.0,0.0
ur.010574327127.52,0.0,0.0,0.0
ur.0743605532.37,1.0,0.0,0.0
ur.01177130374.95,1.0,0.0,0.0
ur.01332436014.85,0.0,0.0,0.0
ur.01012413151.18,0.0,0.0,0.0
ur.01142321154.07,1.0,0.0,0.0
ur.0774214443.34,0.0,0.0,0.0
ur.01025102013.74,29.0,1.3693752909922494e-05,1.3693752909922494e-05
ur.01256231542.72,1.0,0.0,0.0
ur.07677511252.13,1.0,0.0,0.0
ur.01314007614.58,0.0,0.0,0.0
ur.0746430643.00,5.0,0.00020540629364883736,0.00013693752909922494
ur.0750443257.35,23.0,0.0013830690439021731,0.001300906526442638
ur.015100305247.22,41.0,0.003806863308958428,0.003396050721660759
ur.011442730152.01,38.0,0.0012598252677128705,0.0011228877386136454
ur.0710615723.55,101.0,0.011406896173965302,0.011105633609947011
