,Degree Centrality,Closeness Centrality,Betweenness Centrality
ur.01157010210.37,0.0,0.0,0.0
ur.0724000563.11,19.0,0.0,0.0
ur.01010500554.04,0.0,0.0,0.0
ur.01022263543.66,0.0,0.0,0.0
ur.0674606463.82,11.0,0.0003423438227480624,0.00015063128200914743
ur.01037746752.54,1.0,0.0,0.0
ur.01340735073.82,7.0,0.00019171254073891488,0.0001643250349190699
ur.0605406731.01,13.0,0.0005066688576671325,0.0003286500698381399
ur.0705225756.94,27.0,0.0008216251745953502,0.0005614438693068225
ur.0705673544.27,11.0,0.0,0.0
ur.01213210572.22,11.0,0.0,0.0
ur.01371320364.32,11.0,0.0,0.0
ur.01314452412.30,11.0,0.0,0.0
ur.01361011445.06,11.0,0.0,0.0
ur.01340634471.52,11.0,0.0,0.0
ur.01270767162.14,11.0,0.0,0.0
ur.01100612671.12,11.0,0.0,0.0
ur.0727724662.00,11.0,0.0,0.0
ur.0757631446.40,47.0,0.0003834250814778299,0.00030126256401829485
ur.01205104126.28,31.0,0.0006573001396762801,0.0006162188809465125
ur.01340706536.07,17.0,0.0001643250349190699,0.0001643250349190699
ur.01306274765.48,6.0,0.0,0.0
ur.01365132070.91,5.0,0.0,0.0
ur.01024443422.16,5.0,0.0,0.0
ur.01142100352.84,5.0,0.0,0.0
ur.01336305513.98,6.0,0.0,0.0
ur.0762766773.09,5.0,0.0,0.0
ur.01020476316.47,101.0,0.0016158628433708558,0.0018760441486593835
ur.01166231045.01,5.0,0.0,0.0
ur.0710723113.67,5.0,0.0,0.0
ur.01077703277.64,26.0,0.00049297510475721,0.0003560375756579849
ur.07457336477.73,47.0,0.004053350861337029,0.004039657108427107
ur.01266656240.10,14.0,0.0011776627502533355,0.0010955002327938004
ur.0625517637.34,5.0,0.0,0.0
ur.0746312700.49,1.0,0.0,0.0
ur.0751474427.65,5.0,2.7387505819844987e-05,5.4775011639689975e-05
ur.01202376602.85,16.0,0.00021910004655875984,0.0002464875523786048
ur.011755167357.45,1.0,0.0,0.0
ur.01305511370.99,12.0,1.3693752909922494e-05,5.4775011639689975e-05
ur.0666456021.60,10.0,0.0,0.0
ur.0726116246.18,7.0,0.0,0.0
ur.01022161343.92,7.0,0.0,0.0
ur.01105046627.77,7.0,0.0,0.0
ur.016640743477.22,7.0,0.0,0.0
ur.01070274543.33,7.0,0.0,0.0
ur.01020602322.01,7.0,0.0,0.0
ur.01352474357.07,7.0,0.0,0.0
ur.01201560434.94,7.0,0.0,0.0
ur.01303244152.14,16.0,0.0003286500698381399,0.00031495631692821736
ur.0674762106.64,9.0,0.0,0.0
ur.0726666750.28,9.0,0.0,0.0
ur.01007576706.17,9.0,0.0,0.0
ur.0741463506.21,9.0,0.0,0.0
ur.07770543117.03,9.0,0.0,0.0
ur.0705576261.21,9.0,0.0,0.0
ur.01177747027.75,28.0,0.00049297510475721,0.0005614438693068225
ur.013160037112.62,10.0,4.108125872976748e-05,5.4775011639689975e-05
ur.01351357352.20,30.0,0.0013419877851724056,0.0014515378084517857
ur.0612733273.11,53.0,8.216251745953497e-05,0.0001643250349190699
ur.01231002143.44,35.0,2.7387505819844987e-05,2.7387505819844987e-05
ur.01162666743.39,78.0,0.004957138553391901,0.00447785720154462
ur.01133056667.78,13.0,4.108125872976748e-05,0.0
ur.01271263250.36,144.0,0.004162900884616408,0.004231369649166019
ur.01252742741.86,7.0,0.0001780187878289924,0.00015063128200914743
ur.01032074516.29,35.0,0.002492263029605888,0.002725056829074567
ur.01260214203.38,4.0,0.0,0.0
ur.0754033444.59,18.0,0.002779831840714256,0.0030263193930928573
ur.015434056252.22,4.0,0.0,0.0
ur.01331314455.98,7.0,0.00015063128200914743,0.00013693752909922494
