,Degree Centrality,Closeness Centrality,Betweenness Centrality
ur.01206566157.88,7.0,0.0,0.0
ur.01256041267.95,7.0,0.0,0.0
ur.0706140343.91,20.0,0.00020540629364883736,0.00021910004655875984
ur.0777622422.61,20.0,2.7387505819844987e-05,4.108125872976748e-05
ur.01057476335.02,10.0,0.0,0.0
ur.01250335222.02,10.0,0.0,0.0
ur.0603533517.14,115.0,0.0013693752909922506,0.0015200065730013982
ur.0725504334.06,23.0,1.3693752909922494e-05,0.0
ur.01266710113.47,25.0,2.7387505819844987e-05,4.108125872976748e-05
ur.0723304767.87,44.0,0.0007668501629556602,0.0008353189275052727
ur.01161213557.58,28.0,0.0003697313285679074,0.0003423438227480624
ur.0660765650.70,10.0,0.0,0.0
ur.0641715221.15,83.0,0.003889025826417962,0.004012269602607262
ur.01007601275.21,40.0,0.00015063128200914743,0.00019171254073891488
ur.0757414436.07,2.0,0.0,0.0
ur.0651603411.55,2.0,0.0,0.0
ur.01252467362.54,26.0,9.585627036945747e-05,0.00010955002327937996
ur.0615022214.67,23.0,8.216251745953497e-05,0.00010955002327937996
ur.0720444615.47,10.0,0.0,0.0
ur.0643717216.41,20.0,0.0006709938925862026,0.0006709938925862026
ur.0772143502.17,10.0,0.0,0.0
ur.01040256702.07,10.0,0.0,0.0
ur.01337170470.54,10.0,0.0,0.0
ur.01244656725.36,28.0,0.0005066688576671325,0.000520362610577055
ur.01224642331.08,10.0,0.0,0.0
ur.01057436023.18,16.0,0.00013693752909922494,6.846876454961247e-05
ur.01337047102.86,10.0,0.0,0.0
ur.0613443002.46,10.0,0.0,0.0
ur.01336004764.97,13.0,0.0,0.0
ur.0607517560.47,13.0,0.0,0.0
ur.01012422342.47,4.0,0.0,0.0
ur.0602014510.16,4.0,0.0,0.0
ur.0741453351.16,4.0,0.0,0.0
ur.01072402672.00,4.0,0.0,0.0
ur.0713571705.20,48.0,0.0005066688576671325,0.0005614438693068225
ur.0742541453.16,6.0,0.0,0.0
ur.01274747456.86,6.0,0.0,0.0
ur.01173432644.34,6.0,0.0,0.0
ur.01063361214.19,6.0,0.0,0.0
ur.014571064077.28,6.0,0.0,0.0
ur.01317155420.51,6.0,0.0,0.0
ur.016303325577.21,6.0,0.0,0.0
ur.0664317113.45,1.0,0.0,0.0
ur.016450363737.45,72.0,0.0014378440555418632,0.0014378440555418632
ur.01136620632.95,3.0,0.0,0.0
ur.01057144213.99,3.0,0.0,0.0
ur.01370364532.69,3.0,0.0,0.0
ur.01113675653.68,3.0,0.0,0.0
ur.01164176170.25,5.0,0.0,0.0
ur.0750416176.51,5.0,0.0,0.0
ur.01257525110.43,5.0,0.0,0.0
ur.01064526706.46,5.0,0.0,0.0
ur.01340163252.15,5.0,0.0,0.0
ur.01112061632.05,69.0,0.004135513378796563,0.004080738367156874
ur.01125214207.48,138.0,0.011352121162325613,0.01222852134856064
ur.0672600332.54,7.0,0.0,0.0
ur.012017416037.86,14.0,2.7387505819844987e-05,1.3693752909922494e-05
ur.01311154521.24,12.0,0.00013693752909922494,0.00013693752909922494
ur.010654702342.01,7.0,0.0,0.0
ur.01224233732.55,36.0,0.0013967627968120956,0.0013967627968120956
ur.01106743632.45,19.0,0.0001780187878289924,0.00010955002327937996
ur.01207660660.81,7.0,0.0,0.0
ur.0647604251.32,38.0,0.0008216251745953502,0.0008627064333251177
ur.01117414232.30,5.0,0.0,0.0
ur.01247507363.62,5.0,0.0,0.0
ur.01073011455.37,5.0,0.0,0.0
ur.011525766741.03,5.0,0.0,0.0
ur.01350071232.17,5.0,0.0,0.0
ur.0713701076.38,201.0,0.01570673458768091,0.01593952838714962
ur.016301411057.14,4.0,0.0,0.0
ur.01334511247.99,4.0,0.0,0.0
ur.010734735167.72,31.0,0.0013146002793525606,0.0016432503491907008
ur.01104712263.04,56.0,0.002314244241776898,0.0023416317475967426
ur.01156245532.10,50.0,0.0021636129597677528,0.0023964067592364318
ur.013064272542.92,27.0,2.7387505819844987e-05,2.7387505819844987e-05
ur.0760074421.41,11.0,0.00021910004655875984,0.00012324377618930246
