,Degree Centrality,Closeness Centrality,Betweenness Centrality
ur.01267375260.56,22.0,0.0,0.0
ur.01137247266.57,10.0,0.0,0.0
ur.0715564707.69,10.0,0.0,0.0
ur.01330446756.55,10.0,0.0,0.0
ur.01151336471.82,10.0,0.0,0.0
ur.010312732157.16,10.0,0.0,0.0
ur.01220061456.95,10.0,0.0,0.0
ur.010472250032.88,10.0,0.0,0.0
ur.01346712740.03,10.0,0.0,0.0
ur.015342265037.04,22.0,0.0,0.0
ur.011357062217.85,22.0,0.0,0.0
ur.01016231034.11,0.0,0.0,0.0
ur.01231317214.42,0.0,0.0,0.0
ur.013663273307.27,17.0,0.0003286500698381399,0.00023279379946868233
ur.01173370673.30,2.0,0.0,0.0
ur.014213331342.94,10.0,4.108125872976748e-05,1.3693752909922494e-05
ur.01134545123.42,0.0,0.0,0.0
ur.01050230551.85,2.0,0.0,0.0
ur.0606057712.46,11.0,0.0001643250349190699,0.00012324377618930246
ur.01066054314.49,2.0,0.0,0.0
ur.01333031252.69,2.0,0.0,0.0
ur.0741061457.69,12.0,0.0003834250814778299,0.0003423438227480624
ur.0723272770.83,4.0,0.0,0.0
ur.01234477267.40,2.0,0.0,0.0
ur.01175531774.37,2.0,0.0,0.0
ur.01132754516.53,1.0,0.0,0.0
ur.07750661261.33,1.0,0.0,0.0
ur.01075713302.24,7.0,0.0,0.0
ur.0621256066.77,6.0,0.0,0.0
ur.01351351154.09,1.0,0.0,0.0
ur.01353722016.86,1.0,0.0,0.0
ur.01272612235.40,20.0,9.585627036945747e-05,0.00010955002327937996
ur.01165106617.49,3.0,0.0,0.0
ur.01036651734.46,3.0,0.0,0.0
ur.01216107435.90,3.0,0.0,0.0
ur.01305741055.69,109.0,0.003382356968750837,0.0037383945444088166
ur.01140265535.70,19.0,0.00012324377618930246,0.0001780187878289924
ur.0765500701.54,41.0,0.0005477501163969,0.000575137622216745
ur.016131522022.16,16.0,0.00042450634020759745,0.00031495631692821736
ur.01211334560.01,28.0,0.0014926190671815532,0.0011228877386136454
ur.01241634200.46,10.0,0.0,0.0
ur.01307747400.51,10.0,0.0,0.0
ur.0641072534.04,136.0,0.008750308109440377,0.008873551885629678
ur.012405224145.09,10.0,0.0,0.0
ur.01012571622.29,90.0,0.004518938460274387,0.004779119765562911
ur.01014232611.51,91.0,0.0026565880645249553,0.002547038041245577
ur.0672565321.01,7.0,0.0,0.0
ur.01255517003.70,13.0,5.4775011639689975e-05,5.4775011639689975e-05
ur.0705006340.54,8.0,9.585627036945747e-05,1.3693752909922494e-05
ur.0633665436.55,13.0,6.846876454961247e-05,4.108125872976748e-05
ur.01252747253.32,9.0,8.216251745953497e-05,5.4775011639689975e-05
ur.01141270403.71,15.0,0.00030126256401829485,0.0003697313285679074
ur.01044517621.97,26.0,0.000520362610577055,0.0006299126338564351
ur.01121544500.62,6.0,0.0,0.0
ur.0575630756.59,36.0,0.000465587598937365,0.0004792813518472875
ur.01317106305.78,10.0,0.0,1.3693752909922494e-05
ur.01064754777.39,6.0,0.0,0.0
ur.010504541757.36,6.0,0.0,0.0
ur.01236024473.41,24.0,0.0,4.108125872976748e-05
ur.01047512275.84,6.0,0.0,0.0
ur.0746363175.32,46.0,0.0022320817243173642,0.002122531701037986
ur.01151667414.90,11.0,0.0,4.108125872976748e-05
ur.01272247306.09,3.0,0.0,0.0
ur.011446533237.14,7.0,0.0006709938925862026,0.0005614438693068225
ur.0715351314.21,1.0,0.0,0.0
ur.01032646276.22,5.0,0.0,0.0
ur.0651706451.61,3.0,1.3693752909922494e-05,0.0
ur.0605357512.19,3.0,0.0,2.7387505819844987e-05
ur.01136577502.22,12.0,0.00043820009311751996,0.00049297510475721
ur.0740127444.55,6.0,0.0,0.0
ur.016665665154.81,6.0,0.0,0.0
ur.015655377432.89,28.0,0.0005340563634869775,0.00045189384602744247
ur.01011743755.08,34.0,0.0003560375756579849,0.00049297510475721
ur.01330370114.25,6.0,0.0,0.0
ur.0604764014.03,6.0,0.0,0.0
ur.07645410302.37,6.0,0.0,0.0
ur.01220173257.39,0.0,0.0,0.0
ur.01135463453.81,15.0,0.0004792813518472875,0.00060252512803659
ur.01346500304.54,1.0,0.0,0.0
ur.0777370675.19,1.0,0.0,0.0
ur.0737373453.01,0.0,0.0,0.0
ur.01255012217.13,0.0,0.0,0.0
ur.01353222421.39,0.0,0.0,0.0
ur.013337404107.28,0.0,0.0,0.0
ur.01121674151.96,4.0,8.216251745953497e-05,4.108125872976748e-05
ur.01105701121.17,2.0,0.0,0.0
ur.0665600623.07,2.0,0.0,0.0
ur.01216706404.64,1.0,0.0,0.0
ur.01306130631.97,1.0,0.0,0.0
ur.01062000450.97,51.0,0.0015610878317311658,0.0013556815380823281
ur.0764744556.62,4.0,0.0,0.0
ur.01026147730.50,9.0,0.00015063128200914743,4.108125872976748e-05
ur.01101173156.33,4.0,0.0,0.0
