,Degree Centrality,Closeness Centrality,Betweenness Centrality
ur.01067414667.70,12.0,0.0,0.0
ur.01307623734.80,12.0,0.0,0.0
ur.01052725674.91,12.0,0.0,0.0
ur.0730020123.27,12.0,0.0,0.0
ur.0631411476.24,12.0,0.0,0.0
ur.0660011751.00,12.0,0.0,0.0
ur.0704521431.75,12.0,0.0,0.0
ur.0662703370.11,12.0,0.0,0.0
ur.0641163761.92,12.0,0.0,0.0
ur.0670771602.45,12.0,0.0,0.0
ur.014756553364.73,12.0,0.0,0.0
ur.0612130423.79,80.0,0.0008490126804151952,0.0009448689507846528
ur.0603056221.77,46.0,0.0007257689042258926,0.0009448689507846528
ur.01334354151.48,24.0,0.0,0.0
ur.01354775342.40,24.0,0.0,0.0
ur.0766070243.31,24.0,0.0,0.0
ur.01065711610.99,33.0,6.846876454961247e-05,1.3693752909922494e-05
ur.01066263444.16,24.0,0.0,0.0
ur.0673531702.47,24.0,0.0,0.0
ur.01057011605.62,42.0,1.3693752909922494e-05,4.108125872976748e-05
ur.01064261161.42,24.0,0.0,0.0
ur.01027504707.49,42.0,4.108125872976748e-05,2.7387505819844987e-05
ur.0721526562.59,24.0,0.0,0.0
ur.0642334145.78,24.0,0.0,0.0
ur.01306634725.94,24.0,0.0,0.0
ur.012220003237.70,79.0,0.0001780187878289924,0.00015063128200914743
ur.01141044102.37,56.0,0.00019171254073891488,0.00030126256401829485
ur.01044155162.29,79.0,0.0006573001396762801,0.0006299126338564351
ur.01320253323.13,42.0,0.00012324377618930246,0.00012324377618930246
ur.01062657326.44,71.0,0.0003423438227480624,0.0003834250814778299
ur.01241672464.57,71.0,0.00039711883438775243,0.00043820009311751996
ur.01340656153.88,24.0,0.0,0.0
ur.0703721644.17,24.0,0.0,0.0
ur.01314446563.44,96.0,0.0012324377618930255,0.0009585627036945753
ur.0637273277.61,51.0,0.00012324377618930246,9.585627036945747e-05
ur.01067750277.47,69.0,0.0005066688576671325,0.0005340563634869775
ur.0677000235.05,24.0,0.0,0.0
ur.016621027562.91,82.0,0.0005614438693068225,0.00041081258729767494
ur.01041646742.48,8.0,0.0,0.0
ur.01172140544.53,8.0,0.0,0.0
ur.01055745032.46,8.0,0.0,0.0
ur.01041125067.91,8.0,0.0,0.0
ur.01124060232.44,8.0,0.0,0.0
ur.0665101543.72,8.0,0.0,0.0
ur.0577442716.22,8.0,0.0,0.0
ur.01074060562.02,8.0,0.0,0.0
ur.046143667.68,8.0,0.0,0.0
ur.01352743473.35,13.0,0.0,0.0
ur.01174067011.50,13.0,0.0,0.0
ur.0636237632.09,13.0,0.0,0.0
ur.01164452020.65,13.0,0.0,0.0
ur.0653255575.54,13.0,0.0,0.0
ur.01140467050.68,13.0,0.0,0.0
ur.0674161456.39,13.0,0.0,0.0
ur.0776170471.45,13.0,0.0,0.0
ur.01321401760.92,13.0,0.0,0.0
ur.0777710664.61,13.0,0.0,0.0
ur.01074053762.24,33.0,1.3693752909922494e-05,2.7387505819844987e-05
ur.0576206246.42,13.0,0.0,0.0
ur.0744465274.87,30.0,6.846876454961247e-05,4.108125872976748e-05
ur.01364576130.10,155.0,0.00549119491687887,0.00531317612904988
ur.01000665075.84,14.0,0.0,0.0
ur.0772237673.67,42.0,0.0006573001396762801,0.0006162188809465125
ur.0732551675.99,14.0,0.0,0.0
ur.0713010124.18,14.0,0.0,0.0
ur.01355035750.92,14.0,0.0,0.0
ur.01273661512.46,14.0,0.0,0.0
ur.01155067776.35,14.0,0.0,0.0
ur.01223203176.11,14.0,0.0,0.0
ur.0613535567.96,14.0,0.0,0.0
ur.01132165014.95,28.0,0.0,0.0
ur.01051650555.08,34.0,0.00012324377618930246,0.00020540629364883736
ur.0662140676.16,14.0,0.0,0.0
ur.016431742417.58,14.0,0.0,0.0
ur.01366503114.13,53.0,0.002875688111083712,0.0029989318872730127
ur.01234150755.24,66.0,0.0026292005587051108,0.002725056829074567
ur.0606510703.09,8.0,0.0,0.0
ur.01160731076.56,8.0,0.0,0.0
ur.01054635176.45,8.0,0.0,0.0
ur.0717106741.44,8.0,0.0,0.0
ur.0632104762.47,8.0,0.0,0.0
ur.01307375662.38,8.0,0.0,0.0
ur.0666001776.32,8.0,0.0,0.0
ur.012036172332.85,8.0,0.0,0.0
ur.01230731720.32,8.0,0.0,0.0
ur.01365226436.35,16.0,0.0,0.0
ur.0625661750.38,16.0,0.0,0.0
ur.01133570251.50,16.0,0.0,0.0
ur.01134042062.81,16.0,0.0,0.0
ur.0645564330.10,16.0,0.0,0.0
ur.01010062624.01,28.0,0.0014789253142716307,0.0014241503026319407
ur.01206525736.49,16.0,0.0,0.0
ur.0616463631.73,16.0,0.0,0.0
ur.016332240317.20,45.0,0.001807575384109771,0.0014104565497220182
ur.07441625012.94,16.0,0.0,0.0
ur.01105215236.39,16.0,0.0,0.0
ur.011405263524.00,16.0,0.0,0.0
ur.0720721715.09,16.0,0.0,0.0
ur.01042103771.77,16.0,0.0,0.0
ur.0657117374.08,46.0,0.0016432503491907008,0.0014378440555418632
ur.01204076540.59,16.0,0.0,0.0
ur.01355327533.38,16.0,0.0,0.0
ur.01040226177.01,25.0,0.0006846876454961251,0.0006573001396762801
ur.01214440700.40,122.0,0.001834962889929616,0.001725412866650236
ur.01055013755.45,13.0,0.0,0.0
ur.0774506417.94,13.0,0.0,0.0
ur.01131216113.19,51.0,0.00023279379946868233,0.00012324377618930246
ur.01362127271.62,13.0,0.0,0.0
ur.0601713543.66,13.0,0.0,0.0
ur.01167544033.13,13.0,0.0,0.0
ur.01150455763.02,75.0,0.0008627064333251177,0.0009722564566044978
ur.01237567267.11,13.0,0.0,0.0
ur.0657210522.53,13.0,0.0,0.0
ur.013136447177.16,13.0,0.0,0.0
ur.0667217717.05,25.0,0.00030126256401829485,0.00027387505819844983
ur.01156200251.95,13.0,0.0,0.0
ur.0742640077.79,8.0,0.0,0.0
ur.0654646367.91,8.0,0.0,0.0
ur.01057066477.06,8.0,0.0,0.0
ur.013053117077.43,23.0,5.4775011639689975e-05,0.0001643250349190699
ur.01022335322.61,31.0,0.00060252512803659,0.0007531564100457376
ur.01343703055.10,16.0,0.00028756881110837234,0.0002464875523786048
ur.012041022717.68,18.0,9.585627036945747e-05,6.846876454961247e-05
ur.01320236355.05,8.0,0.0,0.0
ur.01006653501.67,29.0,0.00031495631692821736,0.00027387505819844983
ur.01310565000.38,18.0,0.0,0.0
ur.01012113273.35,18.0,0.0,0.0
ur.01332367622.23,18.0,0.0,0.0
ur.01027273360.08,44.0,0.0002464875523786048,0.00028756881110837234
ur.01106142036.22,18.0,0.0,0.0
ur.01344566140.79,18.0,0.0,0.0
ur.01353155573.08,18.0,0.0,0.0
ur.01250455126.32,18.0,0.0,0.0
ur.01367155617.28,18.0,0.0,0.0
ur.0734762743.18,18.0,0.0,0.0
ur.07455326625.31,18.0,0.0,0.0
ur.0751612713.14,18.0,0.0,0.0
ur.01365311760.42,18.0,0.0,0.0
ur.01206377452.62,41.0,0.0007805439158655827,0.0009859502095144203
ur.01260103702.44,18.0,0.0,0.0
ur.01142432564.72,18.0,0.0,0.0
ur.0763410441.30,18.0,0.0,0.0
ur.011260235657.38,54.0,0.0005888313751266675,0.0003697313285679074
ur.01120316730.33,18.0,0.0,0.0
ur.01325704000.05,0.0,0.0,0.0
ur.01336001101.35,9.0,0.0,0.0
ur.01134155455.42,1.0,0.0,0.0
ur.0671623434.58,1.0,0.0,0.0
ur.01370061066.45,44.0,9.585627036945747e-05,9.585627036945747e-05
ur.0764646416.00,49.0,4.108125872976748e-05,0.0
ur.01365136616.70,29.0,0.00039711883438775243,0.0005066688576671325
ur.0723745031.24,0.0,0.0,0.0
ur.0636264774.39,1.0,0.0,0.0
ur.0744544174.05,2.0,0.0,0.0
ur.010406525307.54,2.0,0.0,0.0
ur.01275516134.83,4.0,0.0,0.0
ur.0730742660.35,4.0,0.0,0.0
ur.01225660330.03,4.0,0.0,0.0
ur.01161417660.41,4.0,0.0,0.0
ur.01115440363.90,4.0,0.0,0.0
ur.01345253476.72,1.0,0.0,0.0
ur.01167314406.89,12.0,0.0,0.0
ur.07551511267.87,8.0,0.0,0.0
ur.0640670763.46,8.0,0.0,0.0
ur.01051032360.39,8.0,0.0,0.0
ur.01331336734.91,8.0,0.0,0.0
ur.0700176575.63,8.0,0.0,0.0
ur.013204002253.27,8.0,0.0,0.0
ur.016407716147.47,8.0,0.0,0.0
ur.01173255677.63,8.0,0.0,0.0
ur.0712570764.43,8.0,0.0,0.0
ur.01146054360.03,9.0,0.0,0.0
ur.01262302760.12,9.0,0.0,0.0
ur.01130353732.88,9.0,0.0,0.0
ur.01235113521.99,9.0,0.0,0.0
ur.0734202023.45,9.0,0.0,0.0
ur.0645461202.70,9.0,0.0,0.0
ur.01341462505.01,9.0,0.0,0.0
ur.0721505351.56,9.0,0.0,0.0
ur.01006736735.43,9.0,0.0,0.0
ur.01065507416.27,42.0,0.001191356503163258,0.001218744008983103
ur.01170133127.93,7.0,0.0,0.0
ur.01241147365.85,7.0,0.0,0.0
ur.01347432165.93,28.0,0.0003834250814778299,0.0003560375756579849
ur.01057051140.99,7.0,0.0,0.0
ur.0600070441.59,7.0,0.0,0.0
ur.012617437444.09,59.0,0.0017117191137403134,0.0020540629364883744
ur.0772563570.61,7.0,0.0,0.0
ur.013274422527.22,28.0,0.00042450634020759745,0.000575137622216745
ur.0663756403.54,12.0,0.0,0.0
ur.0732071603.31,73.0,0.001780187878289926,0.001725412866650236
ur.01131374377.15,12.0,0.0,0.0
ur.01075661114.30,12.0,0.0,0.0
ur.01214675066.59,12.0,0.0,0.0
ur.01356210277.65,12.0,0.0,0.0
