,Degree Centrality,Closeness Centrality,Betweenness Centrality
ur.0633553301.42,11.0,0.00012324377618930246,4.108125872976748e-05
ur.01320465656.14,30.0,0.00027387505819844983,0.0003834250814778299
ur.012124405255.77,1.0,0.0,0.0
ur.01045564377.55,40.0,0.00043820009311751996,0.00060252512803659
ur.01076526514.00,708.0,0.007285076548078691,0.0074630953359076805
ur.01244561501.30,18.0,1.3693752909922494e-05,4.108125872976748e-05
ur.01042453416.16,5.0,0.0,0.0
ur.01324703271.29,10.0,0.0,0.0
ur.011275360077.82,103.0,0.0007805439158655827,0.0008764001862350402
ur.0665740427.33,72.0,0.0003423438227480624,0.0004792813518472875
ur.01000400112.73,29.0,0.0003286500698381399,0.00013693752909922494
ur.01254402160.27,3.0,0.0,0.0
ur.01213431306.66,3.0,0.0,0.0
ur.01070350152.95,68.0,0.0006846876454961251,0.0008079314216854277
ur.01032314613.74,5.0,0.0,0.0
ur.0766044756.49,76.0,0.0009448689507846528,0.0008900939391449628
ur.0762045616.96,7.0,0.0,0.0
ur.0757106337.17,7.0,0.0,0.0
ur.01261415442.17,9.0,4.108125872976748e-05,1.3693752909922494e-05
ur.01167341344.33,10.0,0.00027387505819844983,0.0003423438227480624
ur.01141570251.13,0.0,0.0,0.0
ur.01041132724.55,237.0,0.0005477501163969,0.0009174814449648078
ur.014214643437.09,22.0,2.7387505819844987e-05,0.00010955002327937996
ur.01305571744.95,474.0,0.0002464875523786048,0.0003423438227480624
ur.013116036157.07,184.0,9.585627036945747e-05,0.00013693752909922494
ur.013010130757.31,12.0,0.0,0.0
ur.0673154367.13,12.0,0.0,0.0
ur.01261465106.72,12.0,0.0,0.0
ur.0667373435.35,57.0,9.585627036945747e-05,2.7387505819844987e-05
ur.0637113662.20,18.0,1.3693752909922494e-05,0.0
ur.01251777712.97,12.0,0.0,0.0
ur.0611040006.77,423.0,4.108125872976748e-05,0.00010955002327937996
ur.01307540523.43,12.0,0.0,0.0
ur.01141412412.15,13.0,2.7387505819844987e-05,2.7387505819844987e-05
ur.0775372160.50,8.0,0.0,0.0
ur.01267116116.23,45.0,4.108125872976748e-05,8.216251745953497e-05
ur.07632511762.54,37.0,5.4775011639689975e-05,4.108125872976748e-05
ur.010750155355.32,17.0,0.0,0.0
ur.0774167016.07,18.0,0.0,0.0
ur.01042302216.08,20.0,0.0,0.0
ur.0621624661.48,17.0,0.0,0.0
ur.01171532202.66,17.0,0.0,0.0
ur.015555331661.96,17.0,0.0,0.0
ur.01027453746.75,17.0,0.0,0.0
ur.0762047663.67,25.0,1.3693752909922494e-05,2.7387505819844987e-05
ur.01125747157.89,25.0,0.0,0.0
ur.01144736351.06,39.0,9.585627036945747e-05,4.108125872976748e-05
ur.013552115147.38,4.0,0.0,0.0
ur.01131732164.16,44.0,0.00010955002327937996,5.4775011639689975e-05
ur.01364646142.66,42.0,0.0,0.0
ur.01274346350.85,146.0,0.00013693752909922494,0.00012324377618930246
ur.01372435713.34,332.0,0.01503574069509471,0.014994659436364943
ur.01237726270.35,154.0,0.00030126256401829485,0.00015063128200914743
ur.01213702460.80,17.0,0.0,0.0
ur.0650635067.98,548.0,0.0036973132856790497,0.0036014570153095936
ur.0770325716.68,152.0,9.585627036945747e-05,0.00010955002327937996
ur.01036441116.39,138.0,2.7387505819844987e-05,0.0
ur.0624416633.61,23.0,1.3693752909922494e-05,1.3693752909922494e-05
ur.01213304343.43,60.0,0.0007668501629556602,0.0008764001862350402
ur.01022122011.59,14.0,0.0,0.0
ur.0662155361.99,14.0,0.0,0.0
ur.0613320011.09,15.0,0.0,1.3693752909922494e-05
ur.0636171424.36,14.0,0.0,0.0
ur.01054225362.13,14.0,0.0,0.0
ur.01136350411.42,14.0,0.0,0.0
ur.0623747214.10,23.0,6.846876454961247e-05,1.3693752909922494e-05
ur.01236567162.14,14.0,0.0,0.0
ur.01205441377.37,14.0,0.0,0.0
ur.0616154414.22,25.0,0.00010955002327937996,6.846876454961247e-05
ur.01265016660.54,52.0,0.00020540629364883736,0.0003697313285679074
ur.0617030551.71,20.0,1.3693752909922494e-05,1.3693752909922494e-05
ur.013535550177.29,34.0,6.846876454961247e-05,4.108125872976748e-05
ur.01317014447.97,44.0,0.00013693752909922494,0.00020540629364883736
ur.01131463733.49,11.0,4.108125872976748e-05,2.7387505819844987e-05
ur.01207343501.94,1.0,0.0,0.0
ur.0600777210.97,66.0,0.0007942376687755052,0.0007805439158655827
ur.01326745310.31,10.0,0.0,0.0
ur.011606760464.15,30.0,0.0001780187878289924,0.00012324377618930246
ur.01247763632.02,50.0,0.0001780187878289924,0.00015063128200914743
ur.010063330502.67,9.0,0.0,0.0
ur.0606000100.17,37.0,0.0001780187878289924,0.00015063128200914743
ur.01161550517.71,47.0,0.0001780187878289924,0.00015063128200914743
ur.01012443065.19,9.0,0.0,0.0
ur.01346414103.74,10.0,0.0,0.0
ur.0756516775.38,9.0,0.0,0.0
ur.01110457310.65,9.0,0.0,0.0
ur.016230742332.22,63.0,0.0021499192068578305,0.0022868567359570534
