,total,LMICs,LMICs_perc,HICs,Unknown,Avg BC,Avg DC,Avg CC,Min BC,Min DC,Min CC,Max BC,Max DC,Max CC
621,23,4,0.17391304347826086,19,0,339829.46048036544,21.434782608695652,0.11264322543842362,0.0,0.0,0.0,3821586.424030669,80.0,0.19858904863620358
622,14,3,0.21428571428571427,11,0,0.0,13.571428571428571,0.10028002174868385,0.0,2.0,3.2776676117274946e-05,0.0,30.0,0.1634464102646128
623,17,2,0.11764705882352941,15,0,325957.3649722119,37.88235294117647,0.1262387501122468,0.0,1.0,1.6388338058637473e-05,2473148.1665937873,374.0,0.22052295967147312
624,28,4,0.14285714285714285,24,0,33392.22841806297,14.5,0.10749016986485996,0.0,0.0,0.0,656304.8178772011,86.0,0.18994515629664577
625,18,6,0.3333333333333333,12,0,13798.790890266311,12.777777777777779,0.11110739798457334,0.0,1.0,1.6388338058637473e-05,128446.24149627001,46.0,0.1771115137960077
626,15,3,0.2,12,0,13809.235204135046,15.666666666666666,0.11040081424748706,0.0,0.0,0.0,207138.0280620257,36.0,0.18000806150154727
627,10,2,0.2,8,0,10759.174178120928,9.1,0.11269800458622874,0.0,1.0,1.6388338058637473e-05,107588.74178120928,32.0,0.17423512161791607
628,20,4,0.2,16,0,17108.068983390796,8.85,0.08697108932810238,0.0,1.0,1.6388338058637473e-05,252210.64093944762,40.0,0.18348077812304378
629,26,3,0.11538461538461539,23,0,158806.3725239633,19.846153846153847,0.12053130128085353,0.0,1.0,6.555335223454989e-05,1956490.0823231942,85.0,0.20069387703079394
630,12,1,0.08333333333333333,11,0,200979.40858110553,9.916666666666666,0.08469834399391425,0.0,0.0,0.0,2411752.9029732663,48.0,0.19125390166011855
631,18,1,0.05555555555555555,17,0,153470.37992681414,12.444444444444445,0.11862527943734956,0.0,1.0,6.555335223454989e-05,2531431.297676868,46.0,0.19399381717433042
632,23,3,0.13043478260869565,20,0,185627.62865307272,20.652173913043477,0.1286650468369175,0.0,1.0,1.6388338058637473e-05,2698350.6392146046,127.0,0.18337153376896947
633,19,1,0.05263157894736842,18,0,546.0081845250422,9.842105263157896,0.10410202842715201,0.0,0.0,0.0,10366.441220261517,24.0,0.1648886248072626
634,12,2,0.16666666666666666,10,0,174604.05256780158,12.0,0.10333320833185823,0.0,0.0,0.0,2092859.9129013766,59.0,0.19873074923062625
635,28,6,0.21428571428571427,22,0,192105.2522697633,14.678571428571429,0.0932984369810431,0.0,1.0,1.6388338058637473e-05,3010485.7632009247,80.0,0.20446417678390505
636,36,4,0.1111111111111111,32,0,750365.7221633239,26.0,0.11017633004350713,0.0,0.0,0.0,13176591.055311203,444.0,0.21902569639386568
637,16,2,0.125,14,0,33151.91956795881,18.4375,0.10958919922176066,0.0,2.0,3.2776676117274946e-05,345694.39618981304,58.0,0.18774208892002808
638,12,1,0.08333333333333333,11,0,0.0,9.25,0.08099382126744036,0.0,1.0,1.6388338058637473e-05,0.0,23.0,0.14699970382748628
639,17,2,0.11764705882352941,15,0,9325.720459873579,14.941176470588236,0.11936554563118434,0.0,2.0,3.2776676117274946e-05,141963.97937003404,53.0,0.18198778574565164
640,35,2,0.05714285714285714,33,0,511528.0372073959,36.97142857142857,0.11972353602117831,0.0,0.0,0.0,14581997.923099298,752.0,0.2353467317102279
641,23,2,0.08695652173913043,21,0,72968.23950494835,21.652173913043477,0.09020659342918604,0.0,0.0,0.0,1403310.7246184049,117.0,0.19038015611585485
642,22,4,0.18181818181818182,18,0,83189.63962773803,15.045454545454545,0.11999998131776703,0.0,1.0,5.7359183205231155e-05,1607791.1256720577,79.0,0.17668615838367452
643,28,4,0.14285714285714285,24,0,101890.47690960481,16.214285714285715,0.10114335097547504,0.0,1.0,1.6388338058637473e-05,1627222.6994927055,117.0,0.19050607317994092
644,11,2,0.18181818181818182,9,0,8566.839564436941,10.363636363636363,0.13059149902882858,0.0,1.0,1.6388338058637473e-05,94234.73520880635,30.0,0.18150231374720588
645,16,2,0.125,14,0,34140.23528347548,18.875,0.12909850460080866,0.0,1.0,1.6388338058637473e-05,402620.0070674498,70.0,0.1986815842164502
646,14,2,0.14285714285714285,12,0,8904.568572082708,12.571428571428571,0.0966881624221093,0.0,0.0,0.0,124580.62667582459,29.0,0.14997084684926895
647,11,0,0.0,11,0,79518.80488775716,15.454545454545455,0.0975054495953729,0.0,1.0,1.6388338058637473e-05,874706.8537653286,47.0,0.1703138002553082
648,13,3,0.23076923076923078,10,0,140875.38854261002,11.923076923076923,0.0985862248358386,0.0,0.0,0.0,1591806.936289138,44.0,0.1712300709355032
649,38,9,0.23684210526315788,29,0,201163.39318542194,26.473684210526315,0.11047944027747429,0.0,1.0,1.6388338058637473e-05,2757449.8687691735,423.0,0.2246898702122258
650,21,4,0.19047619047619047,17,0,63057.004972507035,14.619047619047619,0.12507725235423564,0.0,1.0,8.194169029318736e-05,1275037.6740577947,53.0,0.1773475513872126
651,21,2,0.09523809523809523,19,0,119479.59670862048,17.571428571428573,0.12759493835014324,0.0,1.0,1.6388338058637473e-05,1408181.7076846515,45.0,0.19682599512983476
652,11,1,0.09090909090909091,10,0,5683.400996452706,53.09090909090909,0.10378623592310333,0.0,2.0,3.2776676117274946e-05,44333.401418579015,380.0,0.21959324014876955
653,34,4,0.11764705882352941,30,0,223476.14697506346,16.852941176470587,0.09355004250292659,0.0,0.0,0.0,2107487.1965563963,74.0,0.20012656089168912
654,16,3,0.1875,13,0,4321.303534950559,12.4375,0.10096078398108407,0.0,0.0,0.0,69140.52322587562,45.0,0.18566720175893364
655,31,6,0.1935483870967742,25,0,126772.13684115831,22.0,0.10531138232363392,0.0,1.0,1.6388338058637473e-05,2308095.3537000734,339.0,0.2179670097552755
656,19,3,0.15789473684210525,16,0,63361.02415322495,13.368421052631579,0.08315032425068197,0.0,1.0,1.6388338058637473e-05,1203845.458911274,68.0,0.19510020558262658
