,total,LMICs,LMICs_perc,HICs,Unknown,Avg BC,Avg DC,Avg CC
67,52,1,0.019230769230769232,51,0,15356.751575881879,13.538461538461538,0.09830185716283511
68,39,0,0.0,39,0,148905.59817122965,46.76923076923077,0.1271918692418025
69,21,0,0.0,21,0,37678.450933979744,40.714285714285715,0.1191756007584564
70,13,1,0.07692307692307693,12,0,0.01809954751131222,19.307692307692307,0.11740764147672361
71,12,0,0.0,12,0,0.0,33.75,0.12444212416314437
72,11,1,0.09090909090909091,10,0,0.0,4.545454545454546,0.08328973718066678
73,13,0,0.0,13,0,33947.23487219149,15.461538461538462,0.09041218438114154
74,25,2,0.08,23,0,78963.31904781215,13.68,0.11816048616458906
75,23,1,0.043478260869565216,22,0,24596.76884497535,25.91304347826087,0.09540053982164526
76,13,0,0.0,13,0,0.0,11.153846153846153,0.08711678625823466
