,total,LMICs,LMICs_perc,HICs,Unknown,Avg BC,Avg DC,Avg CC
35,23,2,0.08695652173913043,21,0,20101.732304838457,22.08695652173913,0.10197758909839295
36,16,0,0.0,16,0,171389.1590764251,23.5,0.12459906378343513
37,25,1,0.04,24,0,71374.65215085732,19.4,0.13498360802250475
38,48,1,0.020833333333333332,47,0,100128.06692405423,20.0625,0.12539513042279304
39,22,1,0.045454545454545456,21,0,2824.6363636363635,16.454545454545453,0.10990624518018793
40,23,1,0.043478260869565216,22,0,53321.94995684362,19.91304347826087,0.1155775663423238
41,20,0,0.0,20,0,168919.3769186687,24.2,0.09700259973045544
42,21,0,0.0,21,0,67316.88210425797,17.523809523809526,0.10628072211101543
43,15,0,0.0,15,0,19.205797101449274,18.466666666666665,0.08234427883869477
44,19,0,0.0,19,0,77216.86593121137,20.63157894736842,0.12149679681160218
45,16,0,0.0,16,0,37226.46386223858,26.25,0.11763004611272275
46,37,1,0.02702702702702703,36,0,205926.15423835156,27.972972972972972,0.14109523385988523
47,22,1,0.045454545454545456,21,0,29119.021133473725,29.0,0.12284080123857087
48,22,1,0.045454545454545456,21,0,45091.04063149438,22.318181818181817,0.11603530846902324
49,14,0,0.0,14,0,110652.51381940376,24.857142857142858,0.11541675291094593
50,16,1,0.0625,15,0,8218.836271259119,16.5,0.10922922989691644
51,110,7,0.06363636363636363,103,0,82594.68326531524,15.4,0.09791488502946866
52,25,1,0.04,24,0,76328.25119261694,15.6,0.09715125628603084
53,21,1,0.047619047619047616,20,0,201852.47768053334,21.142857142857142,0.09967406084116191
54,31,2,0.06451612903225806,29,0,97842.1829713031,19.93548387096774,0.11122089623266136
55,25,0,0.0,25,0,39838.22696651672,24.8,0.10796541733128118
56,20,1,0.05,19,0,2.5199999999999982,23.7,0.09119888918329264
57,34,0,0.0,34,0,85743.37479080819,19.0,0.11869622809595283
58,26,1,0.038461538461538464,25,0,227275.22699481001,17.615384615384617,0.11262756237971952
59,38,2,0.05263157894736842,36,0,232597.43304099466,20.657894736842106,0.11972150895472426
60,21,2,0.09523809523809523,19,0,12839.1565630033,20.666666666666668,0.1039601251504753
61,29,1,0.034482758620689655,28,0,409983.2467806022,28.96551724137931,0.13655831591424236
62,30,1,0.03333333333333333,29,0,69497.62247079167,26.2,0.1272121824498355
63,21,1,0.047619047619047616,20,0,321984.8292557451,35.0,0.13530004503177892
64,17,2,0.11764705882352941,15,0,564222.0780549509,21.941176470588236,0.13562382750708318
