,total,LMICs,LMICs_perc,HICs,Unknown,Avg BC,Avg DC,Avg CC,Min BC,Min DC,Min CC,Max BC,Max DC,Max CC
328,12,1,0.08333333333333333,11,0,0.027777777777777776,32.333333333333336,0.07507314624420454,0.0,1.0,4.6093569946992393e-05,0.3333333333333333,119.0,0.21313041187895668
329,16,2,0.125,14,0,7110.715437293362,19.0625,0.10838880327406644,0.0,0.0,0.0,99451.77743479356,65.0,0.19461877691076596
330,12,1,0.08333333333333333,11,0,0.0,25.75,0.10559626918665987,0.0,4.0,0.0004609356994699239,0.0,102.0,0.19914829325751815
331,44,5,0.11363636363636363,39,0,36674.9845739088,16.25,0.13518628422577006,0.0,0.0,0.0,973199.7485542789,102.0,0.1901682415302887
332,37,6,0.16216216216216217,31,0,9050.39679577747,18.81081081081081,0.12630384424345117,0.0,3.0,0.0001382807098409772,312930.0,93.0,0.19090211701179943
333,13,6,0.46153846153846156,7,0,52274.35800588072,30.0,0.13246660709926408,0.0,1.0,4.6093569946992393e-05,644805.2540764493,196.0,0.21758972698703571
334,15,3,0.2,12,0,48729.22512611478,23.066666666666666,0.1409953675851199,0.0,8.0,0.0005531228393639087,404221.0201002387,105.0,0.1936201926418387
335,16,1,0.0625,15,0,4497.080479726727,26.1875,0.1297885781729869,0.0,1.0,4.6093569946992393e-05,71953.09719943716,196.0,0.21758972698703571
336,23,3,0.13043478260869565,20,0,86301.89761037086,26.0,0.15886566020506354,0.0,1.0,0.0001382807098409772,1713147.843417541,102.0,0.20664497342301566
337,50,8,0.16,42,0,7713.946219962835,15.88,0.1223804213071894,0.0,0.0,0.0,248673.63313371115,102.0,0.19914829325751815
338,14,4,0.2857142857142857,10,0,69012.4533459176,12.928571428571429,0.11391813695034171,0.0,3.0,0.00023046784973496196,707701.9976438476,31.0,0.18894314028905207
339,31,3,0.0967741935483871,28,0,79353.54454351013,16.129032258064516,0.10906271676761913,0.0,4.0,0.0002765614196819544,1134045.706077904,56.0,0.2050712438313108
340,13,3,0.23076923076923078,10,0,18240.728990807816,14.692307692307692,0.12045165367012826,0.0,5.0,0.0003226549896289468,202343.0768805016,40.0,0.1977524811875899
341,13,5,0.38461538461538464,8,0,7383.739333229852,32.38461538461539,0.15299034644389484,0.0,3.0,0.0001382807098409772,95985.62244309919,105.0,0.21138866025013228
342,18,5,0.2777777777777778,13,0,0.2962962962962962,14.277777777777779,0.11530811264197352,0.0,4.0,0.00018437427978796957,5.333333333333332,35.0,0.19612032982508398
343,12,5,0.4166666666666667,7,0,19455.247713059118,18.166666666666668,0.1283697893806651,0.0,3.0,0.00018437427978796957,230298.02450476252,58.0,0.18846034672605624
344,11,6,0.5454545454545454,5,0,16934.213513294664,21.363636363636363,0.12946791373867614,0.0,3.0,0.00036874855957593915,162958.1456512516,58.0,0.17723612345757694
