researcher_id,journal.title,aff_country_code,LMIC
ur.0607421111.38,PLOS,US,1
ur.0607435435.38,PLOS,US,1
ur.0607445737.04,PLOS,CN,2
ur.0607450361.08,PLOS,US,1
ur.0607452634.66,PLOS,BR,2
ur.0607457034.94,PLOS,GB,1
ur.0607461561.47,PLOS,US,1
ur.0607474103.38,PLOS,NL,1
ur.0607477203.05,PLOS,US,1
ur.0607517560.47,PLOS,US,1
ur.0607523017.95,PLOS,GB,1
ur.0607530555.31,PLOS,US,1
ur.0607536245.91,PLOS,GB,1
ur.0607606036.45,PLOS,SE,1
ur.0607632104.58,PLOS,SE,1
ur.0607650406.44,PLOS,GB,1
ur.0607662726.11,PLOS,JM,2
ur.0607664627.00,PLOS,GB,1
ur.0607667530.64,PLOS,GB,1
ur.0607725305.87,PLOS,US,1
ur.0607735513.17,PLOS,US,1
ur.0607741761.89,PLOS,GB,1
ur.0607743150.36,PLOS,US,1
ur.0607760261.04,PLOS,US,1
ur.0607777173.18,PLOS,US,1
ur.0610017257.08,PLOS,NL,1
ur.0610065202.43,PLOS,ZM,2
ur.0610074170.41,PLOS,TH,2
ur.0610100704.16,PLOS,GB,1
ur.0610126364.44,PLOS,US,1
ur.0610130572.45,PLOS,ES,1
ur.0610133233.71,PLOS,FR,1
ur.0610151057.41,PLOS,US,1
ur.0610171375.00,PLOS,CA,1
ur.0610230327.77,PLOS,CN,2
ur.0610262076.25,PLOS,BF,2
ur.0610263344.43,PLOS,FR,1
ur.0610272503.87,PLOS,FR,1
ur.0610302640.03,PLOS,AU,1
ur.0610310666.78,PLOS,CA,1
ur.0610372555.49,PLOS,JP,1
ur.0610411771.29,PLOS,DK,1
ur.0610412114.95,PLOS,US,1
ur.0610422247.65,PLOS,GB,1
ur.0610425107.33,PLOS,KE,2
ur.0610430454.09,PLOS,GB,1
ur.0610433446.08,PLOS,AU,1
ur.0610457367.27,PLOS,SE,1
ur.0610473500.35,PLOS,CN,2
ur.0610475753.09,PLOS,GB,1
ur.0610512241.11,PLOS,FR,1
ur.0610512621.39,PLOS,US,1
ur.0610534336.53,PLOS,US,1
ur.0610534371.35,PLOS,IT,1
ur.0610551470.01,PLOS,,1
ur.0610553572.66,PLOS,FR,1
ur.0610561464.09,PLOS,FR,1
ur.0610570026.87,PLOS,NL,1
ur.0610571127.54,PLOS,MZ,2
ur.0610650360.31,PLOS,CH,1
ur.0610651461.87,PLOS,IT,1
ur.0610654001.44,PLOS,FR,1
ur.0610667722.81,PLOS,NL,1
ur.0610675637.29,PLOS,US,1
ur.0610702343.94,PLOS,GB,1
ur.0610712144.07,PLOS,NL,1
ur.0610721372.40,PLOS,US,1
ur.0610724701.21,PLOS,CH,1
ur.0610725243.28,PLOS,NL,1
ur.0610736154.53,PLOS,SE,1
ur.0610770010.40,PLOS,US,1
ur.0611006023.05,PLOS,GB,1
ur.0611013017.11,PLOS,GB,1
ur.0611013100.15,PLOS,GB,1
ur.0611040006.77,PLOS,US,1
ur.0611044155.19,PLOS,GB,1
ur.0611051637.45,PLOS,BE,1
ur.0611062606.70,PLOS,CA,1
ur.0611104361.22,PLOS,GB,1
ur.0611105613.58,PLOS,GB,1
ur.0611120254.33,PLOS,GB,1
ur.0611134656.68,PLOS,CN,2
ur.0611210276.55,PLOS,US,1
ur.0611212712.44,PLOS,SE,1
ur.0611220511.84,PLOS,CA,1
ur.0611237150.50,PLOS,DE,1
ur.0611246202.63,PLOS,US,1
ur.0611271355.17,PLOS,AU,1
ur.0611273621.91,PLOS,US,1
ur.0611300306.77,PLOS,CH,1
ur.0611331536.97,PLOS,US,1
ur.0611352137.00,PLOS,IT,1
ur.0611365265.81,PLOS,CA,1
ur.0611443340.55,PLOS,FR,1
ur.0611446267.37,PLOS,GB,1
ur.0611504627.99,PLOS,SZ,2
ur.0611514343.90,PLOS,US,1
ur.0611524322.45,PLOS,CH,1
ur.0611541532.31,PLOS,CA,1
ur.0611551745.27,PLOS,US,1
ur.0611602465.61,PLOS,US,1
ur.0611624267.00,PLOS,CA,1
ur.0611647061.68,PLOS,CA,1
ur.0611650244.04,PLOS,CH,1
ur.0611654154.35,PLOS,MW,2
ur.0611711441.88,PLOS,CH,1
ur.0611715756.54,PLOS,FR,1
ur.0611765434.12,PLOS,GB,1
ur.0611767613.73,PLOS,US,1
ur.0612027077.01,PLOS,EG,2
ur.0612027607.66,PLOS,ES,1
ur.0612037244.11,PLOS,SE,1
ur.0612037435.79,PLOS,DE,1
ur.0612117023.50,PLOS,IL,1
ur.0612117146.90,PLOS,GB,1
ur.0612144647.43,PLOS,GB,1
ur.0612156235.23,PLOS,US,1
ur.0612166122.96,PLOS,CH,1
ur.0612174062.52,PLOS,CH,1
ur.0612237465.75,PLOS,US,1
ur.0612252360.65,PLOS,GB,1
ur.0612263154.40,PLOS,IT,1
ur.0612277137.01,PLOS,GB,1
ur.0612324102.09,PLOS,GB,1
ur.0612340565.40,PLOS,MZ,2
ur.0612350232.50,PLOS,CA,1
ur.0612400256.60,PLOS,US,1
ur.0612440702.54,PLOS,CH,1
ur.0612461646.49,PLOS,GB,1
ur.0612472261.76,PLOS,US,1
ur.0612523550.24,PLOS,MX,2
ur.0612526055.15,PLOS,CA,1
ur.0612552750.46,PLOS,IN,2
ur.0612573023.17,PLOS,CH,1
ur.0612603027.67,PLOS,CH,1
ur.0612606051.44,PLOS,CH,1
ur.0612615217.64,PLOS,CA,1
ur.0612656142.14,PLOS,US,1
ur.0612664400.95,PLOS,AU,1
ur.0612672111.54,PLOS,MW,2
ur.0612673115.93,PLOS,GB,1
ur.0612715761.64,PLOS,US,1
ur.0612732547.69,PLOS,IT,1
ur.0612733273.11,PLOS,US,1
ur.0612737310.86,PLOS,BR,2
ur.0612737704.24,PLOS,US,1
ur.0612743404.56,PLOS,GB,1
ur.0612745322.05,PLOS,GB,1
ur.0612755703.92,PLOS,MZ,2
ur.0612766541.26,PLOS,GM,2
ur.0612771317.41,PLOS,US,1
ur.0613034024.04,PLOS,CN,2
ur.0613035067.44,PLOS,US,1
ur.0613042446.24,PLOS,US,1
ur.0613061676.51,PLOS,PT,1
ur.0613066252.07,PLOS,FR,1
ur.0613076076.27,PLOS,AU,1
ur.0613077635.37,PLOS,TZ,2
ur.0613111665.88,PLOS,US,1
ur.0613156130.89,PLOS,US,1
ur.0613170326.11,PLOS,FR,1
ur.0613170457.12,PLOS,US,1
ur.0613232554.32,PLOS,GB,1
ur.0613265621.43,PLOS,US,1
ur.0613274241.70,PLOS,CN,2
ur.0613320011.09,PLOS,UG,2
ur.0613335405.67,PLOS,MX,2
ur.0613355467.43,PLOS,US,1
ur.0613366146.88,PLOS,US,1
ur.0613412704.96,PLOS,DE,1
ur.0613420675.93,PLOS,UG,2
ur.0613431032.45,PLOS,GB,1
ur.0613443002.46,PLOS,PH,2
ur.0613443266.04,PLOS,CH,1
ur.0613473707.88,PLOS,FR,1
ur.0613502036.07,PLOS,CL,1
ur.0613522604.87,PLOS,US,1
ur.0613531673.10,PLOS,AU,1
ur.0613535506.90,PLOS,GB,1
ur.0613552407.23,PLOS,ZA,2
ur.0613564631.86,PLOS,GB,1
ur.0613564666.77,PLOS,TH,2
ur.0613565224.09,PLOS,DE,1
ur.0613602462.40,PLOS,GB,1
ur.0613626002.13,PLOS,GB,1
ur.0613630451.26,PLOS,AU,1
ur.0613632750.13,PLOS,CN,2
ur.0613634403.80,PLOS,US,1
ur.0613641755.16,PLOS,GB,1
ur.0613675375.22,PLOS,ZA,2
ur.0613702303.27,PLOS,US,1
ur.0613703540.77,PLOS,US,1
ur.0613717514.27,PLOS,CA,1
ur.0613731440.31,PLOS,TZ,2
ur.0613734606.62,PLOS,US,1
ur.0613744127.30,PLOS,SE,1
ur.0613751000.84,PLOS,NG,2
ur.0613754145.98,PLOS,US,1
ur.0613762664.22,PLOS,BR,2
ur.0614041407.58,PLOS,US,1
ur.0614073517.85,PLOS,CA,1
ur.0614110157.51,PLOS,GB,1
ur.0614125275.86,PLOS,DE,1
ur.0614146555.21,PLOS,PG,2
ur.0614165570.08,PLOS,US,1
ur.0614206313.94,PLOS,CN,2
ur.0614214453.44,PLOS,AU,1
ur.0614220253.01,PLOS,FR,1
ur.0614233036.16,PLOS,AU,1
ur.0614241451.95,PLOS,MW,2
ur.0614253356.44,PLOS,CA,1
ur.0614266466.85,PLOS,US,1
ur.0614272440.51,PLOS,US,1
ur.0614371217.66,PLOS,US,1
ur.0614400155.17,PLOS,IT,1
ur.0614405557.39,PLOS,US,1
ur.0614433623.28,PLOS,FI,1
ur.0614447317.11,PLOS,AU,1
ur.0614447562.23,PLOS,DK,1
ur.0614467236.76,PLOS,AU,1
ur.0614543037.23,PLOS,BD,2
ur.0614562537.78,PLOS,GB,1
ur.0614563200.58,PLOS,US,1
ur.0614615101.84,PLOS,SE,1
ur.0614626775.66,PLOS,US,1
ur.0614633143.23,PLOS,SE,1
ur.0614646115.42,PLOS,BR,2
ur.0614656214.41,PLOS,PT,1
ur.0614667552.20,PLOS,US,1
ur.0614712041.40,PLOS,GB,1
ur.0614714211.24,PLOS,US,1
ur.0614721430.05,PLOS,CH,1
ur.0614753412.51,PLOS,ES,1
ur.0614776244.41,PLOS,TW,1
ur.0615022214.67,PLOS,US,1
ur.0615022513.38,PLOS,US,1
ur.0615032072.30,PLOS,ES,1
ur.0615050104.17,PLOS,IN,2
ur.0615054324.37,PLOS,GB,1
ur.0615061700.61,PLOS,ZA,2
ur.0615062531.10,PLOS,IT,1
ur.0615136322.62,PLOS,CN,2
ur.0615140370.12,PLOS,US,1
ur.0615144252.14,PLOS,GB,1
ur.0615150533.17,PLOS,BR,2
ur.0615172001.50,PLOS,TZ,2
ur.0615212643.15,PLOS,US,1
ur.0615212775.00,PLOS,ZA,2
ur.0615271334.00,PLOS,US,1
ur.0615302507.28,PLOS,US,1
ur.0615346114.60,PLOS,FR,1
ur.0615353353.49,PLOS,IL,1
ur.0615366251.16,PLOS,TZ,2
ur.0615371463.76,PLOS,CA,1
ur.0615407537.54,PLOS,US,1
ur.0615414307.54,PLOS,GB,1
ur.0615425753.20,PLOS,DE,1
ur.0615432540.32,PLOS,CA,1
ur.0615450407.15,PLOS,IT,1
ur.0615504046.39,PLOS,CH,1
ur.0615520327.95,PLOS,GB,1
ur.0615540764.40,PLOS,AU,1
ur.0615546144.02,PLOS,GB,1
ur.0615551316.29,PLOS,GB,1
ur.0615561666.34,PLOS,AU,1
ur.0615566045.70,PLOS,GB,1
ur.0615610741.77,PLOS,GB,1
ur.0615612572.52,PLOS,ZA,2
ur.0615641147.33,PLOS,DE,1
ur.0615675155.03,PLOS,US,1
ur.0615676337.47,PLOS,US,1
ur.0615726275.56,PLOS,GB,1
ur.0615731131.72,PLOS,BR,2
ur.0615734735.51,PLOS,GB,1
ur.0616003437.07,PLOS,GB,1
ur.0616033773.89,PLOS,GB,1
ur.0616047003.68,PLOS,FI,1
ur.0616050323.35,PLOS,NL,1
ur.0616054230.51,PLOS,CI,2
ur.0616067322.55,PLOS,NO,1
ur.0616107350.15,PLOS,US,1
ur.0616154414.22,PLOS,US,1
ur.0616217163.50,PLOS,CN,2
ur.0616256460.84,PLOS,AU,1
ur.0616302255.02,PLOS,JP,1
ur.0616306044.45,PLOS,CH,1
ur.0616331665.01,PLOS,GB,1
